self.Clock,C1_W1,C1W2,C1W3,C2W2,C3W3,Part1,Part2,Part3,inspector1 block time,inspector2_C2 block time,inspector2_C3 block time,Total Block Time,self.w1_idle,self.w2_idle,self.w3_idle,Total Idle Time(workstation),self.w1_aval,self.w2_aval,self.w3_aval,Event Queue
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,"(0, ins1c1_start) (0, ins2_start) (5000, system end) "
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,"(0, ins2_start) (0.48352742009378763, ins1c1_end) (5000, system end) "
0.48352742009378763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48352742009378763,0.48352742009378763,0.9670548401875753,False,True,True,"(0.48352742009378763, ins1c1_end) (19.18613724189362, ins2c2_end) (5000, system end) "
0.48352742009378763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48352742009378763,0.48352742009378763,0.9670548401875753,False,True,True,"(0.48352742009378763, ins1c1_start) (0.48352742009378763, w1_start) (19.18613724189362, ins2c2_end) (5000, system end) "
0.48352742009378763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48352742009378763,0.48352742009378763,0.9670548401875753,False,True,True,"(0.48352742009378763, w1_start) (2.0800947430448455, ins1c1_end) (19.18613724189362, ins2c2_end) (5000, system end) "
2.0800947430448455,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0800947430448455,2.0800947430448455,4.160189486089691,False,True,True,"(2.0800947430448455, ins1c1_end) (9.536691620454205, w1_end) (19.18613724189362, ins2c2_end) (5000, system end) "
2.0800947430448455,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0800947430448455,2.0800947430448455,4.160189486089691,False,True,True,"(2.0800947430448455, ins1c1_start) (9.536691620454205, w1_end) (19.18613724189362, ins2c2_end) (5000, system end) "
5.293281407441588,0,1,1,0,0,0,0,0,0,0,0,0,0,5.293281407441588,5.293281407441588,10.586562814883177,False,True,True,"(5.293281407441588, ins1c1_end) (9.536691620454205, w1_end) (19.18613724189362, ins2c2_end) (5000, system end) "
5.293281407441588,0,1,1,0,0,0,0,0,0,0,0,0,0,5.293281407441588,5.293281407441588,10.586562814883177,False,True,True,"(5.293281407441588, ins1c1_start) (9.536691620454205, w1_end) (19.18613724189362, ins2c2_end) (5000, system end) "
5.412803730446532,1,1,1,0,0,0,0,0,0,0,0,0,0,5.412803730446532,5.412803730446532,10.825607460893064,False,True,True,"(5.412803730446532, ins1c1_end) (9.536691620454205, w1_end) (19.18613724189362, ins2c2_end) (5000, system end) "
5.412803730446532,1,1,1,0,0,0,0,0,0,0,0,0,0,5.412803730446532,5.412803730446532,10.825607460893064,False,True,True,"(5.412803730446532, ins1c1_start) (9.536691620454205, w1_end) (19.18613724189362, ins2c2_end) (5000, system end) "
9.536691620454205,0,1,1,0,0,1,0,0,0,0,0,0,0,9.536691620454205,9.536691620454205,19.07338324090841,False,True,True,"(9.536691620454205, w1_end) (11.417940147687036, ins1c1_end) (19.18613724189362, ins2c2_end) (5000, system end) "
9.536691620454205,0,1,1,0,0,1,0,0,0,0,0,0,0,9.536691620454205,9.536691620454205,19.07338324090841,False,True,True,"(9.536691620454205, w1_start) (11.417940147687036, ins1c1_end) (19.18613724189362, ins2c2_end) (5000, system end) "
10.37918133733648,0,1,1,0,0,2,0,0,0,0,0,0,0.8424897168822749,10.37918133733648,10.37918133733648,21.600852391555236,True,True,True,"(10.37918133733648, w1_end) (11.417940147687036, ins1c1_end) (19.18613724189362, ins2c2_end) (5000, system end) "
11.417940147687036,0,2,1,0,0,2,0,0,0,0,0,0,1.881248527232831,11.417940147687036,11.417940147687036,24.71712882260691,True,True,True,"(11.417940147687036, ins1c1_end) (19.18613724189362, ins2c2_end) (5000, system end) "
