ID,seed,simulation time,warmup period,Part1,Part2,Part3,inspector1 block time,inspector2 block time,inspector3 block time,Total Block Time,workstation1 idle time,workstation2 idle time,workstation3 idle time,Total Idle Time(workstation)
78,78,5000,1000,204,97,96,17.17486334960904,25.552443096684783,86.48442260317074,129.21172904946457,2517.795381275043,2780.0639683677364,3033.3636195294193,8331.222969172199
79,79,5000,1000,181,109,107,39.4416451912723,229.46373921719567,207.66029498562102,476.565679394089,2707.296296641376,2530.6771093625202,2838.9468785889953,8076.920284592892
80,80,5000,1000,208,99,75,24.613103355435214,191.90133233486586,159.00294913926882,375.5173848295699,2371.05229608431,2946.6419182520854,3153.4442297511573,8471.138444087554
81,81,5000,1000,190,99,110,3.522582462192986,196.69450104023417,143.64423545437717,343.8613189568043,2737.4472718974544,2728.890187443139,2885.4784198044613,8351.815879145055
82,82,5000,1000,191,98,106,5.495297980742862,64.53902627227762,498.4779100896287,568.5122343426492,2800.2892821982373,3059.1039125361926,2769.575181442046,8628.968376176475
83,83,5000,1000,213,98,91,3.6140296471708098,297.8494343336656,207.94035414876635,509.40381812960277,2406.957454385632,2764.665383659395,3005.416281707675,8177.0391197527015
84,84,5000,1000,197,96,104,12.850278718274694,48.74691386632571,102.38704174899794,163.98423433359835,2603.121164209971,2630.5851097992318,2873.30218244376,8107.0084564529625
85,85,5000,1000,188,95,102,4.625478924804156,307.37160418260623,14.514593555128044,326.51167666253843,2751.4601407024256,2759.085976081699,2876.08412728853,8386.630244072654
86,86,5000,1000,161,107,85,8.020553167280923,234.6547268501181,292.4721317151659,535.1474117325649,2856.1027864379857,2574.0727415710053,2994.842833402173,8425.018361411163
87,87,5000,1000,185,109,108,4.186960995461504,156.25512142741604,26.564939050557314,187.00702147343486,2729.937264630665,2640.973105780455,3049.6933747487287,8420.60374515985
88,88,5000,1000,157,98,97,0,434.12466917988513,299.303499937472,733.4281691173571,2987.894191679173,2564.233293334944,2871.215175683732,8423.34266069785
89,89,5000,1000,201,118,97,10.262088642483832,499.2032745746599,62.955923830496204,572.4212870476399,2698.705124883365,2530.9042620876753,2817.7824847286847,8047.391871699725
90,90,5000,1000,171,79,91,7.688496182575818,34.30403069103727,170.71556410953963,212.70809098315272,2800.9214007177525,2977.3476004003405,2816.8820797480157,8595.151080866108
91,91,5000,1000,190,104,91,0,332.75945378305664,186.1834563181809,518.9429101012375,2630.0455705837803,2420.607603981802,3010.9604936583637,8061.613668223947
92,92,5000,1000,189,108,108,1.2994376689584897,270.3724864507799,592.8175766854727,864.489500805211,2767.993031593672,2690.4143209714316,2773.1577700590406,8231.565122624144
93,93,5000,1000,213,89,101,3.6496513527217758,70.3250425214676,81.75037847578733,155.7250723499767,2548.7597721035227,2782.368996026548,2732.7345692647646,8063.863337394836
94,94,5000,1000,203,94,85,10.915538043695506,203.51828322886126,285.3929487813148,499.82677005387154,2498.988177967763,2764.5565110520033,3000.4274540671568,8263.972143086923
95,95,5000,1000,194,90,97,12.359386987627659,243.37112178619464,57.34358068589222,313.0740894597145,2634.8463505460645,2787.7297992026256,2888.829839686829,8311.40598943552
96,96,5000,1000,208,86,100,12.697104430247236,7.609793612741896,313.37264224446017,333.6795402874493,2385.702455258052,2780.174628377852,3097.458828384245,8263.33591202015
