ID,seed,simulation time,warmup period,Part1,Part2,Part3,inspector1 block time,inspector2 block time,inspector3 block time,Total Block Time,workstation1 idle time,workstation2 idle time,workstation3 idle time,Total Idle Time(workstation)
15,15,5000,1000,322,23,18,0,615.6508191783355,2688.594922483614,3304.2457416619495,999.1249157833962,3748.684965373674,3891.442790964617,8639.252672121687
16,16,5000,1000,337,22,18,0,105.22376782238007,3364.865760600441,3470.089528422821,883.6374119088975,3758.73680066075,3826.1899744272705,8468.564186996919
17,17,5000,1000,342,28,25,0,1138.2301807927508,2022.6570564863118,3160.887237279063,987.4824820044105,3756.726406682751,3763.725187516931,8507.934076204092
18,18,5000,1000,351,13,14,0,797.4367362758744,2851.089598404885,3648.526334680759,852.9907629589553,3785.4344751268877,3844.0028108322663,8482.42804891811
19,19,5000,1000,439,42,40,0,802.2339913402636,2741.7813039234106,3544.015295263674,1086.8234915558955,4594.569237679046,4675.936983996564,10357.329713231506
20,20,5000,1000,343,24,21,0,176.43771318395284,3094.475106997566,3270.912820181519,1015.1456967450856,3747.3178710610614,3791.676268679963,8554.139836486109
21,21,5000,1000,335,13,20,0,0,3634.243367608369,3634.243367608369,874.4847976155677,3866.8100129087006,3883.9450880600452,8625.239898584314
22,22,5000,1000,354,14,11,0,205.73707883656834,3479.154212470595,3684.8912913071636,885.1745745589986,3906.6505331851577,3942.304807651141,8734.129915395297
23,23,5000,1000,349,24,24,0,209.81335190293294,2908.233178241732,3118.0465301446648,969.0564471444102,3736.007155982987,3738.4137685447786,8443.477371672176
24,24,5000,1000,314,19,22,0,1007.891344396397,2362.04267752761,3369.934021924007,932.4796026896357,3841.4902970670214,3837.339439077981,8611.309338834639
25,25,5000,1000,334,25,26,0,940.4129176678621,2029.9229604311315,2970.335878098994,981.8819586336876,3703.198934145179,3789.5942609307804,8474.675153709646
26,26,5000,1000,339,26,21,0,216.37940139987404,2951.594407818074,3167.973809217948,863.373048355224,3685.5151492259934,3778.2134778571126,8327.10167543833
27,27,5000,1000,317,16,25,0,39.33069660415458,3123.4016598014573,3162.732356405612,959.7452952653341,3750.041391441152,3719.32241690251,8429.109103608997
28,28,5000,1000,325,12,14,0,564.6274948719879,3021.9339622311277,3586.5614571031156,883.7609436508072,3864.286589164807,3902.6110997805954,8650.658632596209
29,29,5000,1000,339,21,19,0,417.5189634901242,2945.0619389496533,3362.5809024397777,855.8121289309023,3830.2791500884905,3843.8026652932986,8529.893944312691
30,30,5000,1000,379,20,23,0,185.8134292617201,3014.9889345108977,3200.802363772618,822.3347311233209,3785.4317587809687,3737.9558516921206,8345.72234159641
31,31,5000,1000,409,24,29,0,69.04131617600817,3938.671516668666,4007.7128328446743,1008.6095594402038,4720.362283771073,4619.017404520959,10347.989247732236
32,32,5000,1000,363,20,25,0,135.41359576301465,3083.9216823800625,3219.335278143077,1036.7115025553323,3822.2021615564217,3804.0588229340215,8662.972487045776
33,33,5000,1000,346,17,22,0,0,3220.7525896974794,3220.7525896974794,902.883238869287,3820.3635659850524,3793.370416679884,8516.617221534223
34,34,5000,1000,335,27,16,0,628.0482590602214,2691.145169996061,3319.1934290562826,862.8931143720246,3701.8716942919277,3856.2247161683554,8420.989524832308
35,35,5000,1000,323,36,19,0,945.785275883062,2037.4705134859396,2983.255789369002,836.9329582828228,3682.246616331435,3769.1845888364805,8288.364163450738
36,36,5000,1000,316,14,18,0,258.1620432413174,3074.9857822068743,3333.1478254481917,897.2570257837231,3879.9329147160365,3884.195982306949,8661.385922806709
37,37,5000,1000,331,30,21,0,334.7811292489296,2863.7474111619117,3198.5285404108413,925.322268192473,3655.309206091488,3802.4320462201445,8383.063520504105
